Associated Gene Name	Description	Gene Biotype	NA
GAS2L2	growth arrest-specific 2 like 2	protein_coding	246176
C17orf50	chromosome 17 open reading frame 50	protein_coding	146853
MMP28	matrix metallopeptidase 28	protein_coding	79148
SLC25A24	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	protein_coding	29957
OLFML3	olfactomedin-like 3	protein_coding	56944
SYT6	synaptotagmin VI	protein_coding	148281
ICAM3	intercellular adhesion molecule 3	protein_coding	3385
TAF15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	protein_coding	8148
CFHR1	complement factor H-related 1	protein_coding	3078
LEPREL4	leprecan-like 4	protein_coding	10609
C17orf66	chromosome 17 open reading frame 66	protein_coding	256957
TYK2	tyrosine kinase 2	protein_coding	7297
TRIM33	tripartite motif containing 33	protein_coding	51592
NBPF4	neuroblastoma breakpoint family, member 4	protein_coding	148545
CCL5	chemokine (C-C motif) ligand 5	protein_coding	6352
NBPF6	neuroblastoma breakpoint family, member 6	protein_coding	653149
FKBP10	FK506 binding protein 10, 65 kDa	protein_coding	60681
CFHR2	complement factor H-related 2	protein_coding	3080
CFHR4	complement factor H-related 4	protein_coding	10877
RDM1	RAD52 motif 1	protein_coding	201299
BCAS2	breast carcinoma amplified sequence 2	protein_coding	10286
CFHR5	complement factor H-related 5	protein_coding	81494
DENND2C	DENN/MADD domain containing 2C	protein_coding	163259
FAM102B	family with sequence similarity 102, member B	protein_coding	284611
F13B	coagulation factor XIII, B polypeptide	protein_coding	2165
LYZL6	lysozyme-like 6	protein_coding	57151
NT5C3L	5'-nucleotidase, cytosolic III-like	protein_coding	115024
ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	protein_coding	259266
HENMT1	HEN1 methyltransferase homolog 1 (Arabidopsis)	protein_coding	113802
CCL16	chemokine (C-C motif) ligand 16	protein_coding	6360
CCL14	chemokine (C-C motif) ligand 14	protein_coding	6358
CCL15	chemokine (C-C motif) ligand 15	protein_coding	6359
CDC37	cell division cycle 37 homolog (S. cerevisiae)	protein_coding	11140
PRPF38B	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	protein_coding	55119
CCL23	chemokine (C-C motif) ligand 23	protein_coding	6368
PDE4A	phosphodiesterase 4A, cAMP-specific	protein_coding	5141
CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	protein_coding	6362
CCL3	chemokine (C-C motif) ligand 3	protein_coding	6348
CCL4	chemokine (C-C motif) ligand 4	protein_coding	6351
FNDC7	fibronectin type III domain containing 7	protein_coding	163479
TBC1D3B	TBC1 domain family, member 3B	protein_coding	414059
STXBP3	syntaxin binding protein 3	protein_coding	6814
CCL3L3	chemokine (C-C motif) ligand 3-like 3	protein_coding	414062
CCL3L3	chemokine (C-C motif) ligand 3-like 3	protein_coding	414062
CCL4L1	chemokine (C-C motif) ligand 4-like 1	protein_coding	9560
CCL4L1	chemokine (C-C motif) ligand 4-like 1	protein_coding	9560
AKNAD1	AKNA domain containing 1	protein_coding	254268
TBC1D3C	TBC1 domain family, member 3C	protein_coding	414060
TBC1D3C	TBC1 domain family, member 3C	protein_coding	414060
GPSM2	G-protein signaling modulator 2	protein_coding	29899
TBC1D3H	TBC1 domain family, member 3H	protein_coding	729877
CLCC1	chloride channel CLIC-like 1	protein_coding	23155
CCL3L1	chemokine (C-C motif) ligand 3-like 1	protein_coding	6349
CCL3L1	chemokine (C-C motif) ligand 3-like 1	protein_coding	6349
CCL4L2	chemokine (C-C motif) ligand 4-like 2	protein_coding	388372
CCL4L2	chemokine (C-C motif) ligand 4-like 2	protein_coding	388372
TBC1D3G	TBC1 domain family, member 3G	protein_coding	654341
TBC1D3G	TBC1 domain family, member 3G	protein_coding	654341
TBC1D3G	TBC1 domain family, member 3G	protein_coding	654341
TBC1D3G	TBC1 domain family, member 3G	protein_coding	654341
WDR47	WD repeat domain 47	protein_coding	22911
ZNHIT3	zinc finger, HIT-type containing 3	protein_coding	9326
MYO19	myosin XIX	protein_coding	80179
TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	protein_coding	6884
TMEM167B	transmembrane protein 167B	protein_coding	56900
PIGW	phosphatidylinositol glycan anchor biosynthesis, class W	protein_coding	284098
C1orf194	chromosome 1 open reading frame 194	protein_coding	127003
GGNBP2	gametogenetin binding protein 2	protein_coding	79893
KIAA1324	KIAA1324	protein_coding	57535
AMPD1	adenosine monophosphate deaminase 1	protein_coding	270
KLHL10	kelch-like 10 (Drosophila)	protein_coding	317719
DHRS11	dehydrogenase/reductase (SDR family) member 11	protein_coding	79154
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	protein_coding	4893
MRM1	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)	protein_coding	79922
CSDE1	cold shock domain containing E1, RNA-binding	protein_coding	7812
LHX1	LIM homeobox 1	protein_coding	3975
AATF	apoptosis antagonizing transcription factor	protein_coding	26574
ACACA	acetyl-CoA carboxylase alpha	protein_coding	31
KLHL11	kelch-like 11 (Drosophila)	protein_coding	55175
ACLY	ATP citrate lyase	protein_coding	47
CNP	2',3'-cyclic nucleotide 3' phosphodiesterase	protein_coding	1267
SIKE1	suppressor of IKBKE 1	protein_coding	80143
DNAJC7	DnaJ (Hsp40) homolog, subfamily C, member 7	protein_coding	7266
SYCP1	synaptonemal complex protein 1	protein_coding	6847
NKIRAS2	NFKB inhibitor interacting Ras-like 2	protein_coding	28511
ZNF385C	zinc finger protein 385C	protein_coding	201181
TSHB	thyroid stimulating hormone, beta	protein_coding	7252
DHX58	DEXH (Asp-Glu-X-His) box polypeptide 58	protein_coding	79132
TSPAN2	tetraspanin 2	protein_coding	10100
NGF	nerve growth factor (beta polypeptide)	protein_coding	4803
KAT2A	K(lysine) acetyltransferase 2A	protein_coding	2648
KCNJ2	potassium inwardly-rectifying channel, subfamily J, member 2	protein_coding	3759
SOX9	SRY (sex determining region Y)-box 9	protein_coding	6662
SLC39A11	solute carrier family 39 (metal ion transporter), member 11	protein_coding	201266
SSTR2	somatostatin receptor 2	protein_coding	6752
VANGL1	vang-like 1 (van gogh, Drosophila)	protein_coding	81839
COG1	component of oligomeric golgi complex 1	protein_coding	9382
FAM104A	family with sequence similarity 104, member A	protein_coding	84923
C17orf80	chromosome 17 open reading frame 80	protein_coding	55028
CASQ2	calsequestrin 2 (cardiac muscle)	protein_coding	845
CPSF4L	cleavage and polyadenylation specific factor 4-like	protein_coding	642843
CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4	protein_coding	23580
HSPB9	heat shock protein, alpha-crystallin-related, B9	protein_coding	94086
GON4L	gon-4-like (C. elegans)	protein_coding	54856
RAB5C	RAB5C, member RAS oncogene family	protein_coding	5878
NHLH2	nescient helix loop helix 2	protein_coding	4808
SLC22A15	solute carrier family 22, member 15	protein_coding	55356
KCNH4	potassium voltage-gated channel, subfamily H (eag-related), member 4	protein_coding	23415
HCRT	hypocretin (orexin) neuropeptide precursor	protein_coding	3060
GHDC	GH3 domain containing	protein_coding	84514
MAB21L3	mab-21-like 3 (C. elegans)	protein_coding	126868
ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein_coding	476
SDK2	sidekick cell adhesion molecule 2	protein_coding	54549
STAT5B	signal transducer and activator of transcription 5B	protein_coding	6777
STAT5A	signal transducer and activator of transcription 5A	protein_coding	6776
RPL38	ribosomal protein L38	protein_coding	6169
TTYH2	tweety homolog 2 (Drosophila)	protein_coding	94015
ATP1A1OS	ATP1A1 opposite strand	protein_coding	84852
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	protein_coding	6774
DNAI2	dynein, axonemal, intermediate chain 2	protein_coding	64446
CD58	CD58 molecule	protein_coding	965
IGSF3	immunoglobulin superfamily, member 3	protein_coding	3321
CD2	CD2 molecule	protein_coding	914
PTRF	polymerase I and transcript release factor	protein_coding	284119
PTGFRN	prostaglandin F2 receptor negative regulator	protein_coding	5738
ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	protein_coding	535
CD101	CD101 molecule	protein_coding	9398
TTF2	transcription termination factor, RNA polymerase II	protein_coding	8458
NAGLU	N-acetylglucosaminidase, alpha	protein_coding	4669
HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1	protein_coding	3292
COASY	CoA synthase	protein_coding	80347
TRIM45	tripartite motif containing 45	protein_coding	80263
MLX	MAX-like protein X	protein_coding	6945
VTCN1	V-set domain containing T cell activation inhibitor 1	protein_coding	79679
PSMC3IP	PSMC3 interacting protein	protein_coding	29893
FAM134C	family with sequence similarity 134, member C	protein_coding	162427
MAN1A2	mannosidase, alpha, class 1A, member 2	protein_coding	10905
TUBG1	tubulin, gamma 1	protein_coding	7283
TUBG2	tubulin, gamma 2	protein_coding	27175
PLEKHH3	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3	protein_coding	79990
CCR10	chemokine (C-C motif) receptor 10	protein_coding	2826
FAM46C	family with sequence similarity 46, member C	protein_coding	54855
CNTNAP1	contactin associated protein 1	protein_coding	8506
GDAP2	ganglioside induced differentiation associated protein 2	protein_coding	54834
EZH1	enhancer of zeste homolog 1 (Drosophila)	protein_coding	2145
WDR3	WD repeat domain 3	protein_coding	10885
RAMP2	receptor (G protein-coupled) activity modifying protein 2	protein_coding	10266
VPS25	vacuolar protein sorting 25 homolog (S. cerevisiae)	protein_coding	84313
WNK4	WNK lysine deficient protein kinase 4	protein_coding	65266
SPAG17	sperm associated antigen 17	protein_coding	200162
CCDC56	coiled-coil domain containing 56	protein_coding	28958
CNTD1	cyclin N-terminal domain containing 1	protein_coding	124817
BECN1	beclin 1, autophagy related	protein_coding	8678
PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	protein_coding	10197
AOC2	amine oxidase, copper containing 2 (retina-specific)	protein_coding	314
AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	protein_coding	8639
G6PC	glucose-6-phosphatase, catalytic subunit	protein_coding	2538
ZBTB41	zinc finger and BTB domain containing 41	protein_coding	360023
KEAP1	kelch-like ECH-associated protein 1	protein_coding	9817
S1PR5	sphingosine-1-phosphate receptor 5	protein_coding	53637
ATG4D	ATG4 autophagy related 4 homolog D (S. cerevisiae)	protein_coding	84971
CRB1	crumbs homolog 1 (Drosophila)	protein_coding	23418
KRI1	KRI1 homolog (S. cerevisiae)	protein_coding	65095
ZNF568	zinc finger protein 568	protein_coding	374900
ZNF420	zinc finger protein 420	protein_coding	147923
DENND1B	DENN/MADD domain containing 1B	protein_coding	163486
ZNF585A	zinc finger protein 585A	protein_coding	199704
PARP1	poly (ADP-ribose) polymerase 1	protein_coding	142
CDKN2D	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	protein_coding	1032
AP1M2	adaptor-related protein complex 1, mu 2 subunit	protein_coding	10053
SLC44A2	solute carrier family 44, member 2	protein_coding	57153
C1orf53	chromosome 1 open reading frame 53	protein_coding	388722
ZNF585B	zinc finger protein 585B	protein_coding	92285
LHX9	LIM homeobox 9	protein_coding	56956
ZNF383	zinc finger protein 383	protein_coding	163087
HKR1	HKR1, GLI-Kruppel zinc finger family member	protein_coding	284459
ILF3	interleukin enhancer binding factor 3, 90kDa	protein_coding	3609
ZNF527	zinc finger protein 527	protein_coding	84503
ZNF569	zinc finger protein 569	protein_coding	148266
ZNF570	zinc finger protein 570	protein_coding	148268
ZNF793	zinc finger protein 793	protein_coding	390927
NEK7	NIMA (never in mitosis gene a)-related kinase 7	protein_coding	140609
FBXO28	F-box protein 28	protein_coding	23219
ATP6V1G3	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3	protein_coding	127124
ZNF571	zinc finger protein 571	protein_coding	51276
QTRT1	queuine tRNA-ribosyltransferase 1	protein_coding	81890
ZNF540	zinc finger protein 540	protein_coding	163255
ZFP30	zinc finger protein 30 homolog (mouse)	protein_coding	22835
DEGS1	delta(4)-desaturase, sphingolipid 1	protein_coding	8560
PTPRC	protein tyrosine phosphatase, receptor type, C	protein_coding	5788
ZNF781	zinc finger protein 781	protein_coding	163115
ZNF607	zinc finger protein 607	protein_coding	84775
NVL	nuclear VCP-like	protein_coding	4931
ZNF573	zinc finger protein 573	protein_coding	126231
DNM2	dynamin 2	protein_coding	1785
TMED1	transmembrane emp24 protein transport domain containing 1	protein_coding	11018
C19orf38	chromosome 19 open reading frame 38	protein_coding	255809
CARM1	coactivator-associated arginine methyltransferase 1	protein_coding	10498
YIPF2	Yip1 domain family, member 2	protein_coding	78992
C19orf52	chromosome 19 open reading frame 52	protein_coding	90580
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	protein_coding	6597
NR5A2	nuclear receptor subfamily 5, group A, member 2	protein_coding	2494
ZNF281	zinc finger protein 281	protein_coding	23528
KIF14	kinesin family member 14	protein_coding	9928
LDLR	low density lipoprotein receptor	protein_coding	3949
DDX59	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59	protein_coding	83479
GPR25	G protein-coupled receptor 25	protein_coding	2848
SPC24	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	protein_coding	147841
C1orf106	chromosome 1 open reading frame 106	protein_coding	55765
KIF19	kinesin family member 19	protein_coding	124602
KANK2	KN motif and ankyrin repeat domains 2	protein_coding	25959
DOCK6	dedicator of cytokinesis 6	protein_coding	57572
KIF21B	kinesin family member 21B	protein_coding	23046
SYT11	synaptotagmin XI	protein_coding	23208
RIT1	Ras-like without CAAX 1	protein_coding	6016
KIAA0907	KIAA0907	protein_coding	22889
TSPAN16	tetraspanin 16	protein_coding	26526
RAB3D	RAB3D, member RAS oncogene family	protein_coding	9545
TMEM205	transmembrane protein 205	protein_coding	374882
CCDC159	coiled-coil domain containing 159	protein_coding	126075
BTBD17	BTB (POZ) domain containing 17	protein_coding	388419
AC024575.1	Lipid phosphate phosphatase-related protein type 2	protein_coding	NA
GPR142	G protein-coupled receptor 142	protein_coding	350383
EPOR	erythropoietin receptor	protein_coding	2057
CACNA1S	calcium channel, voltage-dependent, L type, alpha 1S subunit	protein_coding	779
GPRC5C	G protein-coupled receptor, family C, group 5, member C	protein_coding	55890
RGL3	ral guanine nucleotide dissociation stimulator-like 3	protein_coding	57139
TMEM9	transmembrane protein 9	protein_coding	252839
CCDC151	coiled-coil domain containing 151	protein_coding	115948
IGFN1	immunoglobulin-like and fibronectin type III domain containing 1	protein_coding	91156
PRKCSH	protein kinase C substrate 80K-H	protein_coding	5589
PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	protein_coding	5317
ELAVL3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	protein_coding	1995
ZNF653	zinc finger protein 653	protein_coding	115950
ECSIT	ECSIT homolog (Drosophila)	protein_coding	51295
TNNT2	troponin T type 2 (cardiac)	protein_coding	7139
CNN1	calponin 1, basic, smooth muscle	protein_coding	1264
ELOF1	elongation factor 1 homolog (S. cerevisiae)	protein_coding	84337
ACP5	acid phosphatase 5, tartrate resistant	protein_coding	54
ZNF627	zinc finger protein 627	protein_coding	199692
ZNF823	zinc finger protein 823	protein_coding	55552
ZNF441	zinc finger protein 441	protein_coding	126068
TBX15	T-box 15	protein_coding	6913
AARSD1	alanyl-tRNA synthetase domain containing 1	protein_coding	80755
WARS2	tryptophanyl tRNA synthetase 2, mitochondrial	protein_coding	10352
HAO2	hydroxyacid oxidase 2 (long chain)	protein_coding	51179
HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	protein_coding	3284
HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	protein_coding	3283
ZNF697	zinc finger protein 697	protein_coding	90874
RUNDC1	RUN domain containing 1	protein_coding	146923
PHGDH	phosphoglycerate dehydrogenase	protein_coding	26227
RPL27	ribosomal protein L27	protein_coding	6155
IFI35	interferon-induced protein 35	protein_coding	3430
VAT1	vesicle amine transport protein 1 homolog (T. californica)	protein_coding	10493
RND2	Rho family GTPase 2	protein_coding	8153
RP5-862P8.2	Mitogen-activated protein kinase kinase kinase MLK4	protein_coding	NA
PSG2	pregnancy specific beta-1-glycoprotein 2	protein_coding	5670
BRCA1	breast cancer 1, early onset	protein_coding	672
KCNK1	potassium channel, subfamily K, member 1	protein_coding	3775
ZNF491	zinc finger protein 491	protein_coding	126069
ZNF440	zinc finger protein 440	protein_coding	126070
SLC35F3	solute carrier family 35, member F3	protein_coding	148641
PSG5	pregnancy specific beta-1-glycoprotein 5	protein_coding	5673
ZNF439	zinc finger protein 439	protein_coding	90594
ZNF69	zinc finger protein 69	protein_coding	7620
LAD1	ladinin 1	protein_coding	3898
C1orf31	chromosome 1 open reading frame 31	protein_coding	388753
TARBP1	TAR (HIV-1) RNA binding protein 1	protein_coding	6894
ZNF763	zinc finger protein 763	protein_coding	284390
ZNF700	zinc finger protein 700	protein_coding	90592
PSG4	pregnancy specific beta-1-glycoprotein 4	protein_coding	5672
TNNI1	troponin I type 1 (skeletal, slow)	protein_coding	7135
IRF2BP2	interferon regulatory factor 2 binding protein 2	protein_coding	359948
TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)	protein_coding	9804
ZNF433	zinc finger protein 433	protein_coding	163059
PSG9	pregnancy specific beta-1-glycoprotein 9	protein_coding	5678
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)	protein_coding	3158
PHLDA3	pleckstrin homology-like domain, family A, member 3	protein_coding	23612
ZNF878	zinc finger protein 878	protein_coding	729747
ZNF844	zinc finger protein 844	protein_coding	284391
RBM34	RNA binding motif protein 34	protein_coding	23029
REG4	regenerating islet-derived family, member 4	protein_coding	83998
CSRP1	cysteine and glycine-rich protein 1	protein_coding	1465
ADAM30	ADAM metallopeptidase domain 30	protein_coding	11085
NOTCH2	notch 2	protein_coding	4853
ARID4B	AT rich interactive domain 4B (RBP1-like)	protein_coding	51742
FAM72B	family with sequence similarity 72, member B	protein_coding	653820
FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	protein_coding	2210
FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	protein_coding	2210
ZNF20	zinc finger protein 20	protein_coding	7568
PPIAL4G	peptidylprolyl isomerase A (cyclophilin A)-like 4G	protein_coding	644591
FAM72D	family with sequence similarity 72, member D	protein_coding	728833
ZNF625	Zinc finger protein 625	protein_coding	90589
ZNF136	zinc finger protein 136	protein_coding	7695
TEX101	testis expressed 101	protein_coding	83639
LYPD3	LY6/PLAUR domain containing 3	protein_coding	27076
ZNF44	zinc finger protein 44	protein_coding	51710
PHLDB3	pleckstrin homology-like domain, family B, member 3	protein_coding	653583
ETHE1	ethylmalonic encephalopathy 1	protein_coding	23474
ZNF575	zinc finger protein 575	protein_coding	284346
XRCC1	X-ray repair complementing defective repair in Chinese hamster cells 1	protein_coding	7515
NAV1	neuron navigator 1	protein_coding	89796
NBR2	neighbor of BRCA1 gene 2 (non-protein coding)	protein_coding	10230
AC006276.7	uncharacterized protein ENSP00000244321 isoform 2	protein_coding	NA
NBR1	neighbor of BRCA1 gene 1	protein_coding	4077
IRGQ	immunity-related GTPase family, Q	protein_coding	126298
ZNF576	zinc finger protein 576	protein_coding	79177
GGPS1	geranylgeranyl diphosphate synthase 1	protein_coding	9453
PPIAL4B	peptidylprolyl isomerase A (cyclophilin A)-like 4B	protein_coding	653505
PPIAL4B	peptidylprolyl isomerase A (cyclophilin A)-like 4B	protein_coding	653505
PPIAL4B	peptidylprolyl isomerase A (cyclophilin A)-like 4B	protein_coding	653505
SRRM5	serine/arginine repetitive matrix 5	protein_coding	100170229
ZNF428	zinc finger protein 428	protein_coding	126299
CADM4	cell adhesion molecule 4	protein_coding	199731
PLAUR	plasminogen activator, urokinase receptor	protein_coding	5329
IRGC	immunity-related GTPase family, cinema	protein_coding	56269
TBCE	tubulin folding cofactor E	protein_coding	6905
ZNF563	zinc finger protein 563	protein_coding	147837
ZNF442	zinc finger protein 442	protein_coding	79973
ZNF799	zinc finger protein 799	protein_coding	90576
SMG9	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein_coding	56006
TMEM106A	transmembrane protein 106A	protein_coding	113277
ZNF443	zinc finger protein 443	protein_coding	10224
KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	protein_coding	3783
ZNF709	zinc finger protein 709	protein_coding	163051
ARL4D	ADP-ribosylation factor-like 4D	protein_coding	379
CTD-2192J16.17	Zinc finger protein 709	protein_coding	NA
DHX8	DEAH (Asp-Glu-Ala-His) box polypeptide 8	protein_coding	1659
ZNF564	zinc finger protein 564	protein_coding	163050
B3GALNT2	beta-1,3-N-acetylgalactosaminyltransferase 2	protein_coding	148789
ZNF490	zinc finger protein 490	protein_coding	57474
ETV4	ets variant 4	protein_coding	2118
ZNF791	zinc finger protein 791	protein_coding	163049
LYPD5	LY6/PLAUR domain containing 5	protein_coding	284348
MEOX1	mesenchyme homeobox 1	protein_coding	4222
MAN2B1	mannosidase, alpha, class 2B, member 1	protein_coding	4125
ZNF283	zinc finger protein 283	protein_coding	284349
PDE4DIP	phosphodiesterase 4D interacting protein	protein_coding	9659
IPO9	importin 9	protein_coding	55705
SHISA4	shisa homolog 4 (Xenopus laevis)	protein_coding	149345
WDR83	WD repeat domain 83	protein_coding	84292
LMOD1	leiomodin 1 (smooth muscle)	protein_coding	25802
TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	protein_coding	10440
RNPEP	arginyl aminopeptidase (aminopeptidase B)	protein_coding	6051
DHPS	deoxyhypusine synthase	protein_coding	1725
FBXW9	F-box and WD repeat domain containing 9	protein_coding	84261
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	protein_coding	1999
TNPO2	transportin 2	protein_coding	30000
SOST	sclerostin	protein_coding	50964
DUSP3	dual specificity phosphatase 3	protein_coding	1845
C17orf105	chromosome 17 open reading frame 105	protein_coding	284067
MPP3	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	protein_coding	4356
C19orf43	chromosome 19 open reading frame 43	protein_coding	79002
GPR37L1	G protein-coupled receptor 37 like 1	protein_coding	9283
ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	protein_coding	439
CD300LG	CD300 molecule-like family member g	protein_coding	146894
ARL8A	ADP-ribosylation factor-like 8A	protein_coding	127829
MPP2	membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	protein_coding	4355
BEST2	bestrophin 2	protein_coding	54831
PTPN7	protein tyrosine phosphatase, non-receptor type 7	protein_coding	5778
PPY	pancreatic polypeptide	protein_coding	5539
PYY	peptide YY	protein_coding	5697
NAGS	N-acetylglutamate synthase	protein_coding	162417
TMEM101	transmembrane protein 101	protein_coding	84336
LSM12	LSM12 homolog (S. cerevisiae)	protein_coding	124801
HOOK2	hook homolog 2 (Drosophila)	protein_coding	29911
G6PC3	glucose 6 phosphatase, catalytic, 3	protein_coding	92579
HDAC5	histone deacetylase 5	protein_coding	10014
JUNB	jun B proto-oncogene	protein_coding	3726
PRDX2	peroxiredoxin 2	protein_coding	7001
C17orf53	chromosome 17 open reading frame 53	protein_coding	78995
RNASEH2A	ribonuclease H2, subunit A	protein_coding	10535
RTBDN	retbindin	protein_coding	83546
ASB16	ankyrin repeat and SOCS box containing 16	protein_coding	92591
C17orf65	chromosome 17 open reading frame 65	protein_coding	339201
TMUB2	transmembrane and ubiquitin-like domain containing 2	protein_coding	79089
MAST1	microtubule associated serine/threonine kinase 1	protein_coding	22983
ATXN7L3	ataxin 7-like 3	protein_coding	56970
DNASE2	deoxyribonuclease II, lysosomal	protein_coding	1777
LGR6	leucine-rich repeat containing G protein-coupled receptor 6	protein_coding	59352
UBTF	upstream binding transcription factor, RNA polymerase I	protein_coding	7343
KLF1	Kruppel-like factor 1 (erythroid)	protein_coding	10661
GCDH	glutaryl-CoA dehydrogenase	protein_coding	2639
NOTCH2NL	notch 2 N-terminal like	protein_coding	388677
SYCE2	synaptonemal complex central element protein 2	protein_coding	256126
FARSA	phenylalanyl-tRNA synthetase, alpha subunit	protein_coding	2193
SLC4A1	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	protein_coding	6521
UBE2T	ubiquitin-conjugating enzyme E2T (putative)	protein_coding	29089
CALR	calreticulin	protein_coding	811
NBPF10	neuroblastoma breakpoint family, member 10	protein_coding	100132406
PPP1R12B	protein phosphatase 1, regulatory subunit 12B	protein_coding	4660
RUNDC3A	RUN domain containing 3A	protein_coding	10900
RAD23A	RAD23 homolog A (S. cerevisiae)	protein_coding	5886
SLC25A39	solute carrier family 25, member 39	protein_coding	51629
GADD45GIP1	growth arrest and DNA-damage-inducible, gamma interacting protein 1	protein_coding	90480
DAND5	DAN domain family, member 5	protein_coding	199699
NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	protein_coding	4784
HFE2	hemochromatosis type 2 (juvenile)	protein_coding	148738
TXNIP	thioredoxin interacting protein	protein_coding	10628
POLR3GL	polymerase (RNA) III (DNA directed) polypeptide G (32kD)-like	protein_coding	84265
GRN	granulin	protein_coding	2896
ZNF404	zinc finger protein 404	protein_coding	342908
ZNF45	zinc finger protein 45	protein_coding	7596
ZNF221	zinc finger protein 221	protein_coding	7638
ZNF155	zinc finger protein 155	protein_coding	7711
GNG4	guanine nucleotide binding protein (G protein), gamma 4	protein_coding	2786
ZNF230	zinc finger protein 230	protein_coding	7773
ZNF222	zinc finger protein 222	protein_coding	7673
LYST	lysosomal trafficking regulator	protein_coding	1130
ZNF223	zinc finger protein 223	protein_coding	7766
ZNF284	zinc finger protein 284	protein_coding	342909
ZNF224	zinc finger protein 224	protein_coding	7767
ZNF225	zinc finger protein 225	protein_coding	7768
ZNF234	zinc finger protein 234	protein_coding	10780
ZNF226	zinc finger protein 226	protein_coding	7769
ZNF227	zinc finger protein 227	protein_coding	7770
LYL1	lymphoblastic leukemia derived sequence 1	protein_coding	4066
TRMT1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)	protein_coding	55621
NACC1	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing	protein_coding	112939
STX10	syntaxin 10	protein_coding	8677
SYT2	synaptotagmin II	protein_coding	127833
IER2	immediate early response 2	protein_coding	9592
CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	protein_coding	773
KDM5B	lysine (K)-specific demethylase 5B	protein_coding	10765
ANKRD34A	ankyrin repeat domain 34A	protein_coding	284615
LIX1L	Lix1 homolog (mouse)-like	protein_coding	128077
RBM8A	RNA binding motif protein 8A	protein_coding	9939
FAM171A2	family with sequence similarity 171, member A2	protein_coding	284069
PEX11B	peroxisomal biogenesis factor 11 beta	protein_coding	8799
ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	protein_coding	3674
RABIF	RAB interacting factor	protein_coding	5877
KLHL12	kelch-like 12 (Drosophila)	protein_coding	59349
ITGA10	integrin, alpha 10	protein_coding	8515
ADIPOR1	adiponectin receptor 1	protein_coding	51094
CCDC130	coiled-coil domain containing 130	protein_coding	81576
MRI1	methylthioribose-1-phosphate isomerase homolog (S. cerevisiae)	protein_coding	84245
GPATCH8	G patch domain containing 8	protein_coding	23131
C19orf53	chromosome 19 open reading frame 53	protein_coding	28974
ZSWIM4	zinc finger, SWIM-type containing 4	protein_coding	65249
FZD2	frizzled family receptor 2	protein_coding	2535
C17orf104	chromosome 17 open reading frame 104	protein_coding	284071
CYB5R1	cytochrome b5 reductase 1	protein_coding	51706
ANKRD35	ankyrin repeat domain 35	protein_coding	148741
PIAS3	protein inhibitor of activated STAT, 3	protein_coding	10401
